This is the header for the file.
-------------------
dx | dy  is  121 46 toIndex | u_value | v_value are 18871 219.4646 29.14478
dx | dy  is  122 46 toIndex | u_value | v_value are 18884 222.1173 29.16036
dx | dy  is  123 46 toIndex | u_value | v_value are 18896 224.7697 29.17594
dx | dy  is  124 46 toIndex | u_value | v_value are 18909 227.4218 29.19152
dx | dy  is  125 46 toIndex | u_value | v_value are 18922 230.0736 29.2071
dx | dy  is  126 46 toIndex | u_value | v_value are 18934 232.725 29.22267
dx | dy  is  127 46 toIndex | u_value | v_value are 18947 235.3762 29.23825
dx | dy  is  128 46 toIndex | u_value | v_value are 18960 238.027 29.25382
dx | dy  is  129 46 toIndex | u_value | v_value are 18972 240.6775 29.26939
dx | dy  is  130 46 toIndex | u_value | v_value are 18985 243.3277 29.28496
dx | dy  is  131 46 toIndex | u_value | v_value are 18997 245.9775 29.30052
dx | dy  is  132 46 toIndex | u_value | v_value are 19010 248.6271 29.31609
dx | dy  is  133 46 toIndex | u_value | v_value are 19023 251.2763 29.33165
dx | dy  is  134 46 toIndex | u_value | v_value are 19035 253.9252 29.34721
dx | dy  is  135 46 toIndex | u_value | v_value are 19048 256.5739 29.36277
dx | dy  is  136 46 toIndex | u_value | v_value are 19061 259.2221 29.37832
dx | dy  is  137 46 toIndex | u_value | v_value are 19073 261.8701 29.39388
dx | dy  is  138 46 toIndex | u_value | v_value are 19086 264.5177 29.40943
dx | dy  is  139 46 toIndex | u_value | v_value are 19098 267.1651 29.42498
dx | dy  is  140 46 toIndex | u_value | v_value are 19110 269.8121 29.44053
dx | dy  is  141 46 toIndex | u_value | v_value are 19123 272.4588 29.45608
dx | dy  is  142 46 toIndex | u_value | v_value are 19136 275.1052 29.47163
dx | dy  is  143 46 toIndex | u_value | v_value are 19148 277.7513 29.48717
dx | dy  is  144 46 toIndex | u_value | v_value are 19161 280.397 29.50271
dx | dy  is  145 46 toIndex | u_value | v_value are 19174 283.0424 29.51825
dx | dy  is  146 46 toIndex | u_value | v_value are 19186 285.6875 29.53379
dx | dy  is  147 46 toIndex | u_value | v_value are 19199 288.3323 29.54933
dx | dy  is  148 46 toIndex | u_value | v_value are 19211 290.9768 29.56486
dx | dy  is  149 46 toIndex | u_value | v_value are 19224 293.621 29.58039
dx | dy  is  150 46 toIndex | u_value | v_value are 19237 296.2648 29.59592
dx | dy  is  151 46 toIndex | u_value | v_value are 19249 298.9084 29.61145
dx | dy  is  152 46 toIndex | u_value | v_value are 19262 301.5516 29.62698
dx | dy  is  153 46 toIndex | u_value | v_value are 19275 304.1945 29.64251
dx | dy  is  154 46 toIndex | u_value | v_value are 19287 306.8371 29.65803
dx | dy  is  155 46 toIndex | u_value | v_value are 19300 309.4793 29.67355
dx | dy  is  156 46 toIndex | u_value | v_value are 19313 312.1213 29.68907
dx | dy  is  157 46 toIndex | u_value | v_value are 19324 314.7629 29.70459
dx | dy  is  158 46 toIndex | u_value | v_value are 19337 317.4043 29.7201
dx | dy  is  159 46 toIndex | u_value | v_value are 19350 320.0453 29.73562
dx | dy  is  160 46 toIndex | u_value | v_value are 19362 322.6859 29.75113
dx | dy  is  161 46 toIndex | u_value | v_value are 19375 325.3263 29.76664
dx | dy  is  162 46 toIndex | u_value | v_value are 19387 327.9664 29.78215
dx | dy  is  163 46 toIndex | u_value | v_value are 19400 330.6061 29.79765
dx | dy  is  164 46 toIndex | u_value | v_value are 19413 333.2456 29.81316
dx | dy  is  165 46 toIndex | u_value | v_value are 19425 335.8847 29.82866
dx | dy  is  166 46 toIndex | u_value | v_value are 19438 338.5235 29.84416
dx | dy  is  167 46 toIndex | u_value | v_value are 19451 341.162 29.85966
dx | dy  is  168 46 toIndex | u_value | v_value are 19463 343.8001 29.87516
dx | dy  is  169 46 toIndex | u_value | v_value are 19476 346.438 29.89065
dx | dy  is  170 46 toIndex | u_value | v_value are 19488 349.0755 29.90615
dx | dy  is  171 46 toIndex | u_value | v_value are 19500 351.7127 29.92164
dx | dy  is  172 46 toIndex | u_value | v_value are 19513 354.3496 29.93713
dx | dy  is  173 46 toIndex | u_value | v_value are 19525 356.9862 29.95262
dx | dy  is  174 46 toIndex | u_value | v_value are 19538 359.6225 29.9681
dx | dy  is  175 46 toIndex | u_value | v_value are 19551 362.2585 29.98359
dx | dy  is  176 46 toIndex | u_value | v_value are 19563 364.8941 29.99907
dx | dy  is  177 46 toIndex | u_value | v_value are 19576 367.5294 30.01455
dx | dy  is  178 46 toIndex | u_value | v_value are 19589 370.1645 30.03003
dx | dy  is  179 46 toIndex | u_value | v_value are 19601 372.7992 30.04551
dx | dy  is  180 46 toIndex | u_value | v_value are 19614 375.4336 30.06098
dx | dy  is  181 46 toIndex | u_value | v_value are 19626 378.0677 30.07646
dx | dy  is  182 46 toIndex | u_value | v_value are 19638 380.7014 30.09193
dx | dy  is  183 46 toIndex | u_value | v_value are 19651 383.3349 30.1074
dx | dy  is  184 46 toIndex | u_value | v_value are 19663 385.968 30.12286
dx | dy  is  185 46 toIndex | u_value | v_value are 19676 388.6008 30.13833
dx | dy  is  186 46 toIndex | u_value | v_value are 19689 391.2333 30.1538
dx | dy  is  187 46 toIndex | u_value | v_value are 19701 393.8655 30.16926
dx | dy  is  188 46 toIndex | u_value | v_value are 19714 396.4974 30.18472
dx | dy  is  189 46 toIndex | u_value | v_value are 19727 399.1289 30.20018
dx | dy  is  190 46 toIndex | u_value | v_value are 19739 401.7602 30.21563
dx | dy  is  191 46 toIndex | u_value | v_value are 19751 404.3911 30.23109
dx | dy  is  192 46 toIndex | u_value | v_value are 19764 407.0217 30.24654
dx | dy  is  193 46 toIndex | u_value | v_value are 19776 409.652 30.26199
dx | dy  is  194 46 toIndex | u_value | v_value are 19789 412.282 30.27744
dx | dy  is  195 46 toIndex | u_value | v_value are 19801 414.9117 30.29289
dx | dy  is  196 46 toIndex | u_value | v_value are 19814 417.5411 30.30833
dx | dy  is  197 46 toIndex | u_value | v_value are 19827 420.1701 30.32378
dx | dy  is  198 46 toIndex | u_value | v_value are 19839 422.7989 30.33922
dx | dy  is  199 46 toIndex | u_value | v_value are 19851 425.4273 30.35466
dx | dy  is  200 46 toIndex | u_value | v_value are 19864 428.0554 30.3701
dx | dy  is  201 46 toIndex | u_value | v_value are 19876 430.6832 30.38553
dx | dy  is  202 46 toIndex | u_value | v_value are 19889 433.3107 30.40097
dx | dy  is  203 46 toIndex | u_value | v_value are 19901 435.9378 30.4164
dx | dy  is  204 46 toIndex | u_value | v_value are 19914 438.5647 30.43183
dx | dy  is  205 46 toIndex | u_value | v_value are 19927 441.1913 30.44726
dx | dy  is  206 46 toIndex | u_value | v_value are 19939 443.8175 30.46269
dx | dy  is  207 46 toIndex | u_value | v_value are 19951 446.4434 30.47811
dx | dy  is  208 46 toIndex | u_value | v_value are 19964 449.069 30.49354
dx | dy  is  209 46 toIndex | u_value | v_value are 19976 451.6943 30.50896
dx | dy  is  210 46 toIndex | u_value | v_value are 19989 454.3193 30.52438
dx | dy  is  211 46 toIndex | u_value | v_value are 20001 456.9439 30.5398
dx | dy  is  212 46 toIndex | u_value | v_value are 20014 459.5683 30.55521
dx | dy  is  213 46 toIndex | u_value | v_value are 20027 462.1923 30.57063
dx | dy  is  214 46 toIndex | u_value | v_value are 20039 464.8161 30.58604
dx | dy  is  215 46 toIndex | u_value | v_value are 20051 467.4395 30.60145
dx | dy  is  216 46 toIndex | u_value | v_value are 20064 470.0626 30.61686
dx | dy  is  217 46 toIndex | u_value | v_value are 20076 472.6854 30.63227
dx | dy  is  218 46 toIndex | u_value | v_value are 20089 475.3079 30.64767
dx | dy  is  219 46 toIndex | u_value | v_value are 20101 477.93 30.66307
dx | dy  is  220 46 toIndex | u_value | v_value are 20114 480.5519 30.67848
dx | dy  is  221 46 toIndex | u_value | v_value are 20127 483.1734 30.69388
dx | dy  is  222 46 toIndex | u_value | v_value are 20138 485.7946 30.70927
dx | dy  is  223 46 toIndex | u_value | v_value are 20151 488.4156 30.72467
dx | dy  is  224 46 toIndex | u_value | v_value are 20164 491.0362 30.74006
dx | dy  is  225 46 toIndex | u_value | v_value are 20176 493.6565 30.75546
dx | dy  is  226 46 toIndex | u_value | v_value are 20189 496.2764 30.77085
dx | dy  is  227 46 toIndex | u_value | v_value are 20201 498.8961 30.78624
dx | dy  is  228 46 toIndex | u_value | v_value are 20214 501.5155 30.80162
dx | dy  is  229 46 toIndex | u_value | v_value are 20226 504.1345 30.81701
dx | dy  is  230 46 toIndex | u_value | v_value are 20238 506.7532 30.83239
dx | dy  is  231 46 toIndex | u_value | v_value are 20251 509.3717 30.84777
dx | dy  is  232 46 toIndex | u_value | v_value are 20263 511.9898 30.86315
